# x_m,y_m,w_tr_right_m,w_tr_left_m
24.758134778809353,-715.0297252627943,6.791049112301504,6.791049112301504
25.326642188652997,-715.448849611952,6.790724150681816,6.790724150681816
25.893713829873366,-715.869900466851,6.78876193987558,6.78876193987558
26.46164525652841,-716.2898138056145,6.790751082480034,6.790751082480034
27.02400530756848,-716.7169700626907,6.803144127338655,6.803144127338655
27.59145844040523,-717.1375525202568,6.801137035472616,6.801137035472616
28.15992378532421,-717.5567286502805,6.805277276399887,6.805277276399887
28.730628820067295,-717.9728624259047,6.8055556874149845,6.8055556874149845
29.298387429333047,-718.3930012833628,6.806963613308091,6.806963613308091
29.867083310152342,-718.8118624611245,6.812014260079048,6.812014260079048
30.438740007752582,-719.2266622287477,6.811720483228143,6.811720483228143
31.007644944392872,-719.6452420691535,6.811980863567824,6.811980863567824
31.577386075490317,-720.0627937795709,6.816327867398366,6.816327867398366
32.157380723919545,-720.4652484102055,6.80230649634664,6.80230649634664
32.73109775708259,-720.876975157368,6.796860555587594,6.796860555587594
33.30483664538601,-721.2889120946111,6.797044304714515,6.797044304714515
33.877402773443194,-721.7024853726136,6.79905447102329,6.79905447102329
34.451534800117926,-722.113874596024,6.798422877385617,6.798422877385617
35.02637909727722,-722.5243154228895,6.797467953368864,6.797467953368864
35.60711460533759,-722.9260025772683,6.785909227017373,6.785909227017373
36.18424235167742,-723.3329861913337,6.776936748908283,6.776936748908283
36.7613438259599,-723.7402000843449,6.7741095153516895,6.7741095153516895
37.339465002160544,-724.1459502442267,6.770058029199862,6.770058029199862
37.9164646244265,-724.5532376429665,6.762538101747115,6.762538101747115
38.494786767663506,-724.9587201660379,6.759709311252967,6.759709311252967
39.07349188247895,-725.3636359762206,6.755337298175405,6.755337298175405
